project_id,project_type_id,title,description,start_date,end_date,synopsis,synopsis_plagiarism_similarity,created_by,package_type_of_user,production_dates,production_locations,crew_roles,casting_roles,review_status
1,Documentary,Seamless client-driven initiative,Develop process base argue six left always job. Manager determine ahead ground hotel on know.,2024-07-23,2024-09-05,Hundred agency great hot any. Pressure figure record.,0.77,harperkristine,free,"{""rehearsal_date"": ""2024-07-09"", ""shooting_start"": ""2024-07-27"", ""duration"": ""1 months""}","[""Jaffna"", ""Nuwara Eliya""]","[{""role_name"": ""Property Master"", ""compensation"": ""36K LKR""}, {""role_name"": ""Grip"", ""compensation"": ""39K LKR""}, {""role_name"": ""Director"", ""compensation"": ""Negotiable""}, {""role_name"": ""Hair Assistant"", ""compensation"": ""19K LKR""}, {""role_name"": ""Hair Stylist"", ""compensation"": ""11K LKR""}]","[{""role_name"": ""Singer"", ""gender"": ""Male"", ""age_range"": ""36-50"", ""compensation"": ""23K LKR"", ""description"": ""Citizen yet ask later weight voice continue newspaper read.""}, {""role_name"": ""Musical Performer"", ""gender"": ""Male"", ""age_range"": ""50+"", ""compensation"": ""20K LKR"", ""description"": ""Always little few analysis me bit instead car.""}, {""role_name"": ""Stunt Double"", ""gender"": ""Female"", ""age_range"": ""26-35"", ""compensation"": ""Negotiable"", ""description"": ""Clear share worker try student occur spring both who foreign.""}]",Needs Review
2,Documentary,Open-architected clear-thinking moratorium,"Her degree share nothing around career staff.
Agent occur support. Degree ever notice direction main wind. Million yet put different plan within.
Fear tough size. Upon last ahead.",2024-10-23,2025-03-25,"Little democratic would past. Move drug building service yourself crime however off.
Computer ago know gas chair project much.",0.57,danielgarcia,premium,"{""rehearsal_date"": ""2024-10-05"", ""shooting_start"": ""2024-11-06"", ""duration"": ""5 months""}","[""Trincomalee"", ""Jaffna"", ""Kandy""]","[{""role_name"": ""Assistant Director"", ""compensation"": ""Negotiable""}, {""role_name"": ""Music Supervisor"", ""compensation"": ""19K LKR""}]","[{""role_name"": ""Theater Actor"", ""gender"": ""Non-binary"", ""age_range"": ""6-12"", ""compensation"": ""Negotiable"", ""description"": ""Claim fish machine remember kitchen parent city leader natural.""}, {""role_name"": ""Musician"", ""gender"": ""Non-binary"", ""age_range"": ""13-17"", ""compensation"": ""Negotiable"", ""description"": ""Great move see sign nature account dinner learn final item into laugh clearly.""}, {""role_name"": ""Radio Actor"", ""gender"": ""Female"", ""age_range"": ""18-25"", ""compensation"": ""15K LKR"", ""description"": ""Per seem open establish animal around under like raise specific goal visit.""}]",Needs Review
3,Film,Synergized non-volatile throughput,"Drug age yeah describe result. Office shoulder record trial sign challenge. Word one participant condition policy assume mouth somebody.
Religious around ask. Role do reason picture forward.",2025-10-27,2026-02-14,Hand all form what bad group. Ten suffer fish up almost sing pattern.,0.23,james66,basic,"{""rehearsal_date"": ""2025-10-15"", ""shooting_start"": ""2025-11-06"", ""duration"": ""3 months""}","[""Colombo"", ""Galle""]","[{""role_name"": ""Foley Artist"", ""compensation"": ""46K LKR""}, {""role_name"": ""Hair Assistant"", ""compensation"": ""21K LKR""}, {""role_name"": ""Music Supervisor"", ""compensation"": ""34K LKR""}, {""role_name"": ""Location Manager"", ""compensation"": ""24K LKR""}]","[{""role_name"": ""Magician"", ""gender"": ""Male"", ""age_range"": ""50+"", ""compensation"": ""Negotiable"", ""description"": ""Mr method until practice sister or per election.""}, {""role_name"": ""Stunt Performer"", ""gender"": ""Male"", ""age_range"": ""18-25"", ""compensation"": ""Negotiable"", ""description"": ""Machine cultural along wrong scene score blood figure enough peace watch they.""}, {""role_name"": ""Background Actor"", ""gender"": ""Female"", ""age_range"": ""36-50"", ""compensation"": ""21K LKR"", ""description"": ""Imagine go few alone move art talk enough lawyer hour us.""}, {""role_name"": ""Child Actor"", ""gender"": ""Male"", ""age_range"": ""36-50"", ""compensation"": ""40K LKR"", ""description"": ""Enter shake already use role dark want information protect door.""}]",Approved
4,Film,Realigned stable groupware,Drive sort rest. Student executive but. Or grow occur yourself thank various impact.,2025-05-27,2025-10-29,Party tough join almost. Through participant board none health third. Trouble prepare player fly leave themselves measure.,0.81,cherylallen,basic,"{""rehearsal_date"": ""2025-05-20"", ""shooting_start"": ""2025-06-10"", ""duration"": ""5 months""}","[""Nuwara Eliya"", ""Trincomalee"", ""Galle""]","[{""role_name"": ""Property Master"", ""compensation"": ""11K LKR""}, {""role_name"": ""Visual Effects Assistant"", ""compensation"": ""30K LKR""}]","[{""role_name"": ""Musician"", ""gender"": ""Female"", ""age_range"": ""50+"", ""compensation"": ""28K LKR"", ""description"": ""News skin break term at good sort run positive movie use receive.""}, {""role_name"": ""Background Actor"", ""gender"": ""Male"", ""age_range"": ""26-35"", ""compensation"": ""Negotiable"", ""description"": ""Score exist pass majority education per.""}, {""role_name"": ""Voice Actor"", ""gender"": ""Female"", ""age_range"": ""18-25"", ""compensation"": ""Negotiable"", ""description"": ""Attack economic light within hit enjoy rate opportunity fire fact.""}, {""role_name"": ""Photo Double"", ""gender"": ""Male"", ""age_range"": ""50+"", ""compensation"": ""Negotiable"", ""description"": ""Million become defense positive expect machine simple lay among.""}]",Rejected
5,Documentary,Reverse-engineered high-level benchmark,"Hard man like. Pay nearly cover million. Alone arm system college effort what set.
Of spend way poor image determine. Want fill shake black. Here others mention happy because.",2026-03-18,2026-05-27,Rule through matter outside herself understand. Institution central town short financial.,0.94,mariabauer,premium,"{""rehearsal_date"": ""2026-03-11"", ""shooting_start"": ""2026-03-22"", ""duration"": ""2 months""}","[""Galle"", ""Jaffna"", ""Kandy""]","[{""role_name"": ""Stunt Coordinator"", ""compensation"": ""Negotiable""}, {""role_name"": ""Property Master"", ""compensation"": ""Negotiable""}]","[{""role_name"": ""Dubbing Artist"", ""gender"": ""Male"", ""age_range"": ""26-35"", ""compensation"": ""28K LKR"", ""description"": ""Heart south left media example deal yeah its law arrive cover score.""}, {""role_name"": ""Narrator"", ""gender"": ""Non-binary"", ""age_range"": ""18-25"", ""compensation"": ""Negotiable"", ""description"": ""View site tonight actually quite today system imagine training clearly.""}, {""role_name"": ""Precision Driver"", ""gender"": ""Male"", ""age_range"": ""18-25"", ""compensation"": ""37K LKR"", ""description"": ""Son century need market finally matter other indeed provide street receive.""}, {""role_name"": ""Voiceover Artist"", ""gender"": ""Male"", ""age_range"": ""13-17"", ""compensation"": ""18K LKR"", ""description"": ""Else later low glass under always avoid finally view score agent network surface carry.""}, {""role_name"": ""Musical Performer"", ""gender"": ""Female"", ""age_range"": ""6-12"", ""compensation"": ""40K LKR"", ""description"": ""International really mission answer describe act family television itself long suffer.""}]",Rejected
6,TV,Fully-configurable 24hour productivity,"Local man three. Audience staff partner not almost. Always approach weight never save capital take.
Throughout wife car might must. Glass wonder likely physical.",2024-12-22,2025-04-23,Window together the current its fill smile. Life though positive production chair. Great goal school end seem national.,0.7,morrisonamanda,free,"{""rehearsal_date"": ""2024-12-08"", ""shooting_start"": ""2025-01-04"", ""duration"": ""4 months""}","[""Trincomalee"", ""Kandy""]","[{""role_name"": ""Production Sound Mixer"", ""compensation"": ""26K LKR""}, {""role_name"": ""Sound Re-recording Mixer"", ""compensation"": ""22K LKR""}, {""role_name"": ""Costume Designer"", ""compensation"": ""Negotiable""}, {""role_name"": ""Gaffer Assistant"", ""compensation"": ""17K LKR""}]","[{""role_name"": ""Circus Performer"", ""gender"": ""Female"", ""age_range"": ""6-12"", ""compensation"": ""35K LKR"", ""description"": ""Laugh example market house rule place ever floor crime impact.""}, {""role_name"": ""Stand-up Comedian"", ""gender"": ""Male"", ""age_range"": ""50+"", ""compensation"": ""Negotiable"", ""description"": ""Skill law ahead education quickly to term name kind not most.""}, {""role_name"": ""Radio Actor"", ""gender"": ""Male"", ""age_range"": ""50+"", ""compensation"": ""29K LKR"", ""description"": ""Leave customer miss bring mother attention single president page attack card head ever red.""}, {""role_name"": ""Background Actor"", ""gender"": ""Non-binary"", ""age_range"": ""18-25"", ""compensation"": ""22K LKR"", ""description"": ""Mouth at organization after choose gas which agency us.""}, {""role_name"": ""Cameo Appearance"", ""gender"": ""Non-binary"", ""age_range"": ""36-50"", ""compensation"": ""Negotiable"", ""description"": ""Their series may security follow professor brother process take.""}, {""role_name"": ""Voiceover Artist"", ""gender"": ""Female"", ""age_range"": ""26-35"", ""compensation"": ""Negotiable"", ""description"": ""Focus at project white area direction.""}]",Needs Review
7,Film,Customer-focused regional archive,Practice as order benefit. Role without school skin hope day determine. Spend student theory.,2025-02-09,2025-04-09,Foreign true hard same style. Look food project poor final.,0.79,johnsonamanda,basic,"{""rehearsal_date"": ""2025-01-28"", ""shooting_start"": ""2025-02-20"", ""duration"": ""1 months""}","[""Jaffna""]","[{""role_name"": ""Casting Director"", ""compensation"": ""43K LKR""}, {""role_name"": ""Legal Advisor"", ""compensation"": ""29K LKR""}, {""role_name"": ""Foley Artist"", ""compensation"": ""Negotiable""}, {""role_name"": ""Production Sound Mixer"", ""compensation"": ""Negotiable""}, {""role_name"": ""Location Manager"", ""compensation"": ""Negotiable""}]","[{""role_name"": ""Lead Actress"", ""gender"": ""Non-binary"", ""age_range"": ""50+"", ""compensation"": ""Negotiable"", ""description"": ""Rich view risk now run bag commercial necessary source.""}, {""role_name"": ""Elderly Actor"", ""gender"": ""Female"", ""age_range"": ""18-25"", ""compensation"": ""24K LKR"", ""description"": ""Will toward trip traditional area scientist health never.""}, {""role_name"": ""Mime Artist"", ""gender"": ""Male"", ""age_range"": ""18-25"", ""compensation"": ""Negotiable"", ""description"": ""Let allow contain kitchen ball fast tonight add lead.""}]",Needs Review
8,Documentary,Business-focused bi-directional benchmark,"Century Republican expert red. Collection land win. After room appear interesting.
Firm institution can television myself play bit voice. Social total car over wonder.
Try stuff protect great reach.",2025-05-26,2025-10-26,Cut maybe mother edge heavy. Class family choice know director matter to apply.,0.78,samantha04,premium,"{""rehearsal_date"": ""2025-05-17"", ""shooting_start"": ""2025-06-07"", ""duration"": ""5 months""}","[""Jaffna""]","[{""role_name"": ""Unit Production Manager"", ""compensation"": ""41K LKR""}, {""role_name"": ""Assistant Camera"", ""compensation"": ""10K LKR""}, {""role_name"": ""Sound Designer"", ""compensation"": ""Negotiable""}, {""role_name"": ""Production Designer"", ""compensation"": ""29K LKR""}, {""role_name"": ""Social Media Manager"", ""compensation"": ""Negotiable""}]","[{""role_name"": ""Lead Actress"", ""gender"": ""Male"", ""age_range"": ""50+"", ""compensation"": ""Negotiable"", ""description"": ""Class similar pick off process yard every off again act author perhaps range.""}, {""role_name"": ""Cameo Appearance"", ""gender"": ""Non-binary"", ""age_range"": ""26-35"", ""compensation"": ""28K LKR"", ""description"": ""Public recognize any election difference task become miss send project put position radio market.""}, {""role_name"": ""Photo Double"", ""gender"": ""Male"", ""age_range"": ""18-25"", ""compensation"": ""18K LKR"", ""description"": ""Sure spend then among actually enjoy dream human dream star.""}, {""role_name"": ""Supporting Actress"", ""gender"": ""Female"", ""age_range"": ""26-35"", ""compensation"": ""16K LKR"", ""description"": ""Bank matter TV low about per sound.""}]",Needs Review
9,TV,Universal empowering model,"Character anyone moment on. Road dark adult popular radio camera class.
Itself baby usually read book. Hear push tree through.",2024-12-19,2025-04-18,"Parent minute grow gun course cause. Week kind American blue.
According actually pay ground. Adult network city red expert.",0.67,pgill,free,"{""rehearsal_date"": ""2024-11-29"", ""shooting_start"": ""2025-01-02"", ""duration"": ""4 months""}","[""Galle"", ""Trincomalee"", ""Kandy""]","[{""role_name"": ""Publicist"", ""compensation"": ""Negotiable""}, {""role_name"": ""Production Sound Mixer"", ""compensation"": ""21K LKR""}, {""role_name"": ""Script Supervisor"", ""compensation"": ""20K LKR""}, {""role_name"": ""Gaffer"", ""compensation"": ""Negotiable""}, {""role_name"": ""Production Coordinator"", ""compensation"": ""Negotiable""}]","[{""role_name"": ""Silent Bit Actor"", ""gender"": ""Male"", ""age_range"": ""26-35"", ""compensation"": ""32K LKR"", ""description"": ""Possible positive care performance now national.""}, {""role_name"": ""Voice Actor"", ""gender"": ""Non-binary"", ""age_range"": ""36-50"", ""compensation"": ""19K LKR"", ""description"": ""Top million form learn require now office Mr push theory scientist.""}, {""role_name"": ""Theater Actor"", ""gender"": ""Female"", ""age_range"": ""6-12"", ""compensation"": ""Negotiable"", ""description"": ""Order answer happy act change child light production miss.""}, {""role_name"": ""Stand-up Comedian"", ""gender"": ""Male"", ""age_range"": ""36-50"", ""compensation"": ""Negotiable"", ""description"": ""Health finish forward stand natural act writer each we as few.""}, {""role_name"": ""Narrator"", ""gender"": ""Female"", ""age_range"": ""26-35"", ""compensation"": ""32K LKR"", ""description"": ""Lose middle week cut science range begin wall himself.""}]",Needs Review
10,Theater,De-engineered needs-based secured line,"By into hotel star magazine bed four.
Officer note book do material style instead. Chance but money apply support.",2024-10-03,2025-02-03,Mention dinner use fall since type. Page throughout these become. Class guess rate along focus red type season. Continue matter budget large role.,0.03,craigrodgers,free,"{""rehearsal_date"": ""2024-09-25"", ""shooting_start"": ""2024-10-06"", ""duration"": ""4 months""}","[""Jaffna"", ""Colombo""]","[{""role_name"": ""Special Effects Supervisor"", ""compensation"": ""Negotiable""}, {""role_name"": ""Publicist"", ""compensation"": ""Negotiable""}, {""role_name"": ""Costume Assistant"", ""compensation"": ""Negotiable""}]","[{""role_name"": ""Elderly Actor"", ""gender"": ""Female"", ""age_range"": ""18-25"", ""compensation"": ""31K LKR"", ""description"": ""Prepare director glass seven worker great imagine.""}, {""role_name"": ""Musical Performer"", ""gender"": ""Female"", ""age_range"": ""50+"", ""compensation"": ""Negotiable"", ""description"": ""Fight may either her new everyone local.""}, {""role_name"": ""Precision Driver"", ""gender"": ""Female"", ""age_range"": ""36-50"", ""compensation"": ""Negotiable"", ""description"": ""Test laugh wrong cell themselves member fish agree debate realize your.""}, {""role_name"": ""Protagonist"", ""gender"": ""Female"", ""age_range"": ""6-12"", ""compensation"": ""Negotiable"", ""description"": ""Simply travel expect century exist say reflect.""}]",Approved
