synopsis_plagiarism_similarity,title_length,description_length,synopsis_length,title_word_count,description_word_count,synopsis_word_count,title_sentiment,description_sentiment,synopsis_sentiment,description_readability,synopsis_readability,num_locations,rehearsal_to_shooting_days,production_duration_months,num_crew_roles,avg_crew_compensation,max_crew_compensation,pct_negotiable_crew,num_casting_roles,num_male_roles,num_female_roles,num_nonbinary_roles,gender_diversity_score,avg_casting_compensation,max_casting_compensation,pct_negotiable_casting,age_range_diversity,casting_description_sentiment,project_duration_days,project_year,project_month,project_type_id,package_type_of_user,has_major_city,is_summer_production,is_winter_production,has_director,has_assistant_director,has_child_actors,is_holiday_season,review_status
0.77,33.0,93.0,53.0,3.0,15.0,8.0,0.0,-0.34,0.4404,52.58250000000001,44.150000000000006,2.0,18.0,1.0,5.0,26250.0,39000.0,20.0,3.0,2.0,1.0,0.0,0.4444444444444444,21500.0,23000.0,33.33333333333333,3.0,0.1953,44.0,2024.0,7.0,Documentary,free,True,True,False,True,False,False,False,Needs Review
0.57,42.0,179.0,126.0,3.0,28.0,19.0,0.0,0.0516,-0.5423,63.11261904761906,57.9224561403509,3.0,32.0,5.0,2.0,19000.0,19000.0,50.0,3.0,0.0,1.0,2.0,0.4444444444444444,15000.0,15000.0,66.66666666666666,3.0,0.5361333333333334,153.0,2024.0,10.0,Documentary,premium,True,False,False,False,True,True,False,Needs Review
0.23,34.0,190.0,69.0,3.0,27.0,13.0,0.0,0.3612,-0.5859,44.687333333333356,96.11442307692309,2.0,22.0,3.0,4.0,31250.0,46000.0,0.0,4.0,3.0,1.0,0.0,0.375,30500.0,40000.0,50.0,3.0,0.037175,110.0,2025.0,10.0,Film,basic,True,False,False,False,False,False,False,Approved
0.81,26.0,84.0,122.0,3.0,13.0,17.0,0.296,0.5023,0.666,59.26743589743592,66.71862745098042,3.0,21.0,5.0,2.0,20500.0,30000.0,0.0,4.0,2.0,2.0,0.0,0.5,28000.0,28000.0,75.0,3.0,0.37770000000000004,155.0,2025.0,5.0,Film,basic,True,True,False,False,False,False,False,Rejected
0.94,39.0,175.0,89.0,3.0,29.0,11.0,0.0,-0.0258,0.0258,76.48778735632185,32.05250000000001,3.0,11.0,2.0,2.0,0.0,0.0,100.0,5.0,3.0,1.0,1.0,0.5599999999999999,30750.0,40000.0,20.0,4.0,-0.06584000000000001,70.0,2026.0,3.0,Documentary,premium,True,False,False,False,False,True,False,Rejected
0.7,38.0,161.0,119.0,3.0,24.0,18.0,0.0,-0.3875,0.8807,64.48800000000003,69.14500000000001,2.0,27.0,4.0,4.0,21666.666666666668,26000.0,25.0,6.0,2.0,2.0,2.0,0.6666666666666667,28666.666666666668,35000.0,50.0,5.0,0.04885,122.0,2024.0,12.0,TV,free,True,False,True,False,False,True,True,Needs Review
0.79,33.0,93.0,59.0,3.0,14.0,10.0,0.0,0.1516,-0.1779,63.11261904761906,91.78000000000003,1.0,23.0,1.0,5.0,36000.0,43000.0,60.0,3.0,1.0,1.0,1.0,0.6666666666666667,24000.0,24000.0,66.66666666666666,2.0,0.19583333333333333,59.0,2025.0,2.0,Film,basic,True,False,True,False,False,False,False,Needs Review
0.78,41.0,198.0,79.0,3.0,29.0,13.0,0.0,0.9403,-0.25,47.3153735632184,57.06826923076926,1.0,21.0,5.0,5.0,26666.666666666668,41000.0,40.0,4.0,2.0,1.0,1.0,0.625,20666.666666666668,28000.0,25.0,3.0,0.103625,153.0,2025.0,5.0,Documentary,premium,True,True,False,False,False,False,False,Needs Review
0.67,26.0,126.0,123.0,3.0,20.0,19.0,0.0,0.4215,0.1531,45.25000000000003,55.07690789473685,3.0,34.0,4.0,5.0,20500.0,21000.0,60.0,5.0,2.0,2.0,1.0,0.6399999999999999,27666.666666666668,32000.0,40.0,3.0,0.24652000000000002,120.0,2024.0,12.0,TV,free,True,False,True,False,False,True,True,Needs Review
0.03,38.0,114.0,146.0,4.0,19.0,23.0,0.4019,0.6187,0.0258,57.9224561403509,75.93788043478263,2.0,11.0,4.0,3.0,0.0,0.0,100.0,4.0,0.0,4.0,0.0,0.0,31000.0,31000.0,75.0,4.0,0.175475,123.0,2024.0,10.0,Theater,free,True,False,False,False,False,True,False,Approved
0.15,32.0,149.0,109.0,3.0,21.0,16.0,0.0,0.25,-0.0772,52.44910714285717,16.35916666666668,3.0,23.0,5.0,5.0,47000.0,47000.0,80.0,6.0,3.0,3.0,0.0,0.5,23250.0,39000.0,33.33333333333333,4.0,0.10426666666666666,160.0,2025.0,2.0,Documentary,premium,True,False,False,True,False,True,False,Approved
0.27,22.0,181.0,85.0,3.0,27.0,13.0,0.0,0.5106,0.7783,44.687333333333356,63.57596153846157,1.0,22.0,1.0,4.0,31333.333333333332,47000.0,25.0,6.0,1.0,3.0,2.0,0.6111111111111112,25666.666666666668,32000.0,50.0,3.0,0.13966666666666666,52.0,2026.0,1.0,TV,premium,True,False,True,True,False,True,True,Approved
0.93,30.0,141.0,140.0,3.0,21.0,20.0,0.0772,0.2263,0.8481,46.64428571428573,45.25000000000003,1.0,20.0,2.0,2.0,47000.0,47000.0,50.0,5.0,1.0,3.0,1.0,0.5599999999999999,26400.0,35000.0,0.0,2.0,0.19135999999999997,75.0,2024.0,5.0,Theater,premium,False,False,False,False,False,True,False,Rejected
0.69,25.0,89.0,79.0,3.0,12.0,12.0,0.0,0.0,0.2732,33.57500000000002,73.84500000000001,3.0,12.0,1.0,5.0,40666.666666666664,44000.0,40.0,5.0,1.0,2.0,2.0,0.6399999999999999,27500.0,38000.0,20.0,4.0,0.05115999999999998,36.0,2026.0,3.0,Theater,basic,True,False,False,False,True,True,False,Needs Review
0.41,32.0,114.0,87.0,3.0,16.0,14.0,0.0,0.6369,0.128,26.934166666666698,48.65857142857146,3.0,26.0,2.0,5.0,29500.0,35000.0,60.0,6.0,1.0,4.0,1.0,0.5,26000.0,32000.0,50.0,5.0,0.10271666666666666,74.0,2024.0,10.0,TV,free,True,False,False,False,False,True,False,Approved
0.22,32.0,174.0,77.0,3.0,24.0,11.0,0.0,0.5423,0.0,43.33800000000002,39.7434090909091,2.0,23.0,5.0,2.0,40500.0,44000.0,0.0,3.0,1.0,1.0,1.0,0.6666666666666667,0.0,0.0,100.0,2.0,0.12726666666666667,175.0,2026.0,4.0,TV,basic,True,False,False,False,False,False,False,Approved
0.76,31.0,144.0,149.0,3.0,21.0,22.0,0.128,0.2484,0.8225,57.54342857142859,43.58886363636364,1.0,31.0,5.0,2.0,24000.0,26000.0,0.0,3.0,2.0,1.0,0.0,0.4444444444444444,0.0,0.0,100.0,1.0,0.28396666666666665,161.0,2025.0,11.0,Film,premium,True,False,True,False,False,False,True,Needs Review
0.63,43.0,193.0,127.0,4.0,29.0,20.0,0.5423,0.4019,0.4005,64.81882183908047,68.93833333333333,3.0,29.0,3.0,2.0,35000.0,47000.0,0.0,5.0,1.0,2.0,2.0,0.6399999999999999,28000.0,39000.0,0.0,5.0,0.29109999999999997,119.0,2026.0,4.0,Documentary,basic,True,False,False,False,False,True,False,Needs Review
0.43,32.0,125.0,54.0,3.0,19.0,10.0,0.0,0.4404,0.0,50.6242763157895,91.78000000000003,2.0,14.0,2.0,2.0,0.0,0.0,100.0,6.0,1.0,5.0,0.0,0.2777777777777777,22500.0,24000.0,66.66666666666666,3.0,0.10461666666666668,89.0,2025.0,6.0,Theater,premium,False,True,False,False,False,True,False,Approved
0.57,33.0,121.0,101.0,3.0,18.0,16.0,0.0,-0.0258,-0.0754,56.567500000000024,53.3716666666667,2.0,22.0,1.0,3.0,24666.666666666668,50000.0,0.0,4.0,2.0,0.0,2.0,0.5,24500.0,26000.0,50.0,2.0,0.39764999999999995,51.0,2024.0,11.0,Documentary,free,True,False,False,False,False,False,True,Needs Review
0.61,32.0,163.0,72.0,3.0,25.0,12.0,0.0,0.6705,0.6808,58.36325000000002,66.79500000000002,2.0,28.0,2.0,2.0,17000.0,17000.0,50.0,6.0,2.0,2.0,2.0,0.6666666666666667,34500.0,37000.0,66.66666666666666,4.0,0.3080333333333333,83.0,2024.0,5.0,Film,free,True,False,False,False,False,True,False,Needs Review
0.34,28.0,179.0,87.0,3.0,25.0,11.0,0.0,0.8316,0.5859,41.443250000000035,24.36159090909092,3.0,10.0,5.0,4.0,18000.0,18000.0,75.0,6.0,4.0,2.0,0.0,0.4444444444444444,18600.0,25000.0,16.666666666666664,4.0,0.10835,154.0,2024.0,11.0,Documentary,premium,True,False,False,False,False,True,True,Approved
0.01,41.0,111.0,137.0,3.0,18.0,18.0,0.0,0.34,0.5267,64.44500000000002,28.367500000000035,2.0,25.0,5.0,4.0,35000.0,35000.0,75.0,4.0,2.0,1.0,1.0,0.625,26000.0,26000.0,75.0,4.0,0.15564999999999998,167.0,2025.0,8.0,Theater,premium,True,True,False,False,False,True,False,Approved
