project_id,project_type,title,description,start_date,end_date,synopsis,plagiarism_similarity,production_dates,production_locations,crew_roles,casting_roles,review_status
1,Theater,Sharable bifurcated algorithm,Development say quality throughout beautiful. All behavior discussion own night respond.,2024-06-23,2024-10-06,Stop peace technology officer relate animal direction eye bag do big everyone player half have decide environment view possible.,2.3827106885194027,"[{'dateType': 'Rehearsal Dates', 'dateRange': ['2024-07-26', '2024-08-05']}]","[{'locationType': 'Shooting Location', 'location': 'East Steven'}, {'locationType': 'Rehearsal Location', 'location': 'Veronicaside'}]","['Hair Stylist', 'Casting Director', 'Assistant Camera']","['Puppeteer', 'Stand-in', 'Commercial Model', 'Celebrity Guest', 'Supporting Actress']",Approved
2,Theater,Face-to-face systemic Graphic Interface,"Start source husband at tree. Then fire pretty how trip learn enter.
Much section investment on gun young catch. Before another body physical society instead as.",2025-02-03,2025-05-31,Participant check several much single morning a food affect upon these story film around there water beat magazine attorney set she campaign little near.,57.37029976535456,"[{'dateType': 'Shooting Dates', 'dateRange': ['2025-03-26', '2025-04-04']}]","[{'locationType': 'Shooting Location', 'location': 'Brandtside'}, {'locationType': 'Rehearsal Location', 'location': 'Lake Larry'}, {'locationType': 'Shooting Location', 'location': 'Samuelhaven'}]","['Script Reader', 'Art Department Assistant', 'Sound Mixer', 'Hair Stylist', 'Casting Director', 'Script Supervisor', 'Sound Editor']","['Dancer', 'Stand-in', 'Special Skills Performer', 'Lead Actor']",Needs Review
3,TV,Organized bottom-line encryption,"Full open discover detail. Remain arrive attack all.
Method everything magazine much. Office drug list imagine behind probably great. Level rock pull worker better I.",2025-04-10,2025-08-27,Coach magazine degree husband around her world enter six lawyer institution whatever yet new responsibility choice father why.,22.034150547049602,"[{'dateType': 'Shooting Dates', 'dateRange': ['2025-07-31', '2025-08-03']}, {'dateType': 'Rehearsal Dates', 'dateRange': ['2025-07-24', '2025-07-29']}, {'dateType': 'Shooting Dates', 'dateRange': ['2025-04-21', '2025-04-25']}]","[{'locationType': 'Shooting Location', 'location': 'Brianshire'}, {'locationType': 'Rehearsal Location', 'location': 'Shawhaven'}]","['Sound Designer', 'Production Accountant', 'Driver']","['Guest Star', 'Host/Presenter']",Approved
4,Theater,Diverse analyzing migration,"Attention attack technology identify. East organization people information on mission various.
Draw how public feel first sell. Act perform none beyond.",2023-07-14,2023-12-07,Choice example decision garden reach table measure economy traditional anything plant stop analysis four capital woman claim kind relationship night born war real chance along hard.,59.28671889819728,"[{'dateType': 'Rehearsal Dates', 'dateRange': ['2023-10-29', '2023-11-04']}, {'dateType': 'Rehearsal Dates', 'dateRange': ['2023-08-11', '2023-08-12']}]","[{'locationType': 'Shooting Location', 'location': 'Andersonport'}, {'locationType': 'Shooting Location', 'location': 'Rachelton'}]","['Production Coordinator', 'Hair Assistant', 'Transportation Coordinator', 'Special Effects Supervisor', 'Director of Photography', 'Assistant Director', 'Visual Effects Assistant']","['Cameo Appearance', 'Mime Artist']",Approved
5,Film,Multi-channeled demand-driven software,"Government nice themselves wind. Understand door class son.
Agent say forward us soon ten. Environment skin blue the teach.
Staff least figure somebody dinner. Process huge everything.",2023-11-14,2024-04-01,Board its rock finish paper memory history office effort remember ability understand.,25.315278636723562,"[{'dateType': 'Shooting Dates', 'dateRange': ['2024-02-26', '2024-03-06']}, {'dateType': 'Shooting Dates', 'dateRange': ['2024-03-26', '2024-04-02']}, {'dateType': 'Audition Dates', 'dateRange': ['2024-03-23', '2024-04-02']}]","[{'locationType': 'Rehearsal Location', 'location': 'West Ryan'}, {'locationType': 'Shooting Location', 'location': 'Cindyville'}]","['Script Supervisor', 'Craft Services', 'Publicist', 'Transportation Coordinator', 'Hair Assistant']","['Narrator', 'Host/Presenter']",Approved
6,Film,Up-sized exuding middleware,"For recent never court professor here. Past feeling nature a.
Involve oil pressure let kind. Memory soldier where save probably.",2023-06-17,2023-08-16,Increase picture create recent manager during prevent accept seem show blood interesting compare when military anyone eat summer lead soon property write other.,18.697008797128333,"[{'dateType': 'Audition Dates', 'dateRange': ['2023-07-29', '2023-08-07']}, {'dateType': 'Audition Dates', 'dateRange': ['2023-08-15', '2023-08-17']}]","[{'locationType': 'Shooting Location', 'location': 'Rivasside'}]","['Assistant Camera', 'Producer', 'Unit Still Photographer', 'Stunt Coordinator', 'Set Dresser']","['Guest Star', 'Lead Actor', 'Antagonist', 'Cameo Appearance']",Approved
7,TV,Organized cohesive synergy,"Else easy point she miss phone ever. Require doctor from throw. Catch discuss really relationship.
Imagine my indeed deal information toward. Watch affect thing offer local wall fear hope.",2023-05-31,2023-08-16,Here deep force seven here sell story edge bank affect much yourself glass practice sit prepare senior wear.,69.69140551039197,"[{'dateType': 'Shooting Dates', 'dateRange': ['2023-06-19', '2023-06-28']}, {'dateType': 'Audition Dates', 'dateRange': ['2023-06-01', '2023-06-04']}]","[{'locationType': 'Rehearsal Location', 'location': 'East David'}]","['Director', 'Assistant Director', 'Storyboard Artist', 'Costume Designer', 'Composer']","['Celebrity Guest', 'Radio Actor', 'Elderly Actor', 'Protagonist']",Rejected
8,Film,Synchronized bifurcated open system,"Record short cold parent security boy standard. Blue agent find quality when.
Away real physical big significant. South someone not American mouth product attention positive. Support state black.",2023-10-03,2024-03-26,Something future they red everybody act way beat result major serve real position make society behavior develop reality fill ok list.,30.349543931678802,"[{'dateType': 'Shooting Dates', 'dateRange': ['2024-01-14', '2024-01-15']}]","[{'locationType': 'Rehearsal Location', 'location': 'Ronaldside'}]","['Music Editor', 'Production Designer Assistant', 'Set Dresser', 'Publicist', 'Costume Assistant', 'Art Director', 'Key Grip']","['Voiceover Artist', 'Precision Driver', 'Radio Actor']",Approved
9,TV,Managed heuristic standardization,"Fill discover return firm sea. Course school everybody operation. Others wonder strategy fast guess few remain.
Animal approach factor want point. Bill activity expect long future whole education.",2024-12-26,2025-03-27,Difficult mission late kind team wrong figure perform participant science way debate decision produce church community avoid able late order fact discuss religious reflect law reach under.,70.33709700185423,"[{'dateType': 'Rehearsal Dates', 'dateRange': ['2025-03-12', '2025-03-18']}, {'dateType': 'Shooting Dates', 'dateRange': ['2025-03-12', '2025-03-18']}, {'dateType': 'Shooting Dates', 'dateRange': ['2025-02-24', '2025-03-04']}]","[{'locationType': 'Rehearsal Location', 'location': 'South Danny'}, {'locationType': 'Rehearsal Location', 'location': 'Lake Edward'}]","['Second Assistant Director', 'Music Supervisor', 'Transportation Coordinator', 'Hair Assistant', 'Script Supervisor', 'Screenwriter', 'Assistant Camera', 'Production Designer']","['Musical Performer', 'Child Actor']",Rejected
10,Film,Future-proofed client-server archive,"Society organization station TV. Buy read record wall matter management.
Always it focus economy before while structure offer. Yourself public especially.
Like prepare trouble consider.",2023-09-14,2023-11-14,Gun series personal service data near until just recognize building win participant dream citizen nearly need behavior yeah tree left brother strategy marriage respond meeting.,43.744412594301174,"[{'dateType': 'Shooting Dates', 'dateRange': ['2023-10-10', '2023-10-12']}]","[{'locationType': 'Shooting Location', 'location': 'Davenportfort'}, {'locationType': 'Rehearsal Location', 'location': 'South Andrea'}, {'locationType': 'Rehearsal Location', 'location': 'Leehaven'}]","['Production Assistant', 'Production Sound Mixer', 'Property Master', 'Music Editor', 'Boom Operator', 'Special Effects Assistant']","['Magician', 'Supporting Actress', 'Circus Performer']",Needs Review
